Format: Title | Year originally released | URL [Time/Lenght] | Channel if not LNK.
===????=== Unknown DATES https://lnk.lt/archyvai
A. Mamontovas ir Tangomanija | 1997 m.? | https://lnk.lt/archyvai/239439 [1:17:58]
Viva LNK | ???? m. | https://lnk.lt/archyvai/240183 [03:20]
Rokas Žilinskas ir Bavarija | ???? m. (Perhaps 1998, due to song "Nešk mane") | https://lnk.lt/archyvai/240042 [01:55]
Rolandas Kazlas - https://lnk.lt/archyvai/243813 [26:17] | Panaikintas. | Baltijos-TV
Rolandas Skripkaitis–Rūlė projekte kelias į žvaigždes | ~2005? | https://lnk.lt/ankstesni-epizodai/215066 [03:51]
Rolandas Skripkaitis–Rūlė projekte kelias į žvaigždes | ~2005? | https://lnk.lt/ankstesni-epizodai/215067 [00:49]


===1995===
Taip. Ne. | 1995 m. | https://lnk.lt/archyvai/266574 [49:10]


===1996===
Dar ne vakaras | 1996 m. | https://lnk.lt/archyvai/239437 [45:22]
Pasimatymas | 1996 m. | https://lnk.lt/archyvai/239440 [30:09]


===1997===
Kultinis „Radioshow“ | 1997 m. | https://lnk.lt/archyvai/243807 [24:27]

Nuo..iki... | 1997 m. | https://lnk.lt/archyvai/240196 [03:13]

„Radioshow“ ir Albinas | 1997 m. | https://lnk.lt/archyvai/243810 [21:38]

Kultinis „Radioshow“ | 1997 m. | https://lnk.lt/archyvai/243807 [24:27]

„Radioshow“ ir Albinas | 1997 m. | https://lnk.lt/archyvai/243810 [21:38]

Dar ne vakaras | 1997 m. | https://lnk.lt/archyvai/259547 [44:20]

Vakarėlis Jums | 1997 m. | https://lnk.lt/archyvai/261833 [50:54]


===1998===
Giedrius Masalskis | 1998 m. | https://lnk.lt/archyvai/240041 [02:18]


===1999===
Aukselis | 1999 m. | https://lnk.lt/archyvai/240197 [25:17]

Dievai ir demonai | 1999 m. | https://lnk.lt/archyvai/239442 [N18] - [54:12]

Tai bent šeimynėlė | 1999 m. | https://lnk.lt/archyvai/259538 [47:49]

Aukselis | 1999 m. | https://lnk.lt/archyvai/266961 [26:24]

Tiems, kurie mus žiūri | 1999 m. vasara?| https://lnk.lt/archyvai/239429 [04:25]


===2000===
Fumito Tomoi ir Takeši pilis | 2000 m. | https://lnk.lt/archyvai/240039 [04:31]


===2001===
Arūnas Valinskas | 2001 m. | https://lnk.lt/archyvai/240045 [02:24]
Tele Pica | 2001 m. | https://lnk.lt/archyvai/261137 [25:09]
Tele Pica | 2001 m.-03(?)-?? | https://lnk.lt/archyvai/267922 [27:58]
Tarp Vilniaus ir Rijo | 2001 m. | https://lnk.lt/archyvai/262436 [16:24]
Dievai ir demonai | 2001 m. | https://lnk.lt/archyvai/263220 [52:02]
Aplink Lietuvą per 20 dienų | 2001 m. | https://lnk.lt/archyvai/263232 [03:20]
Orbita | 2001 m. | https://lnk.lt/archyvai/265388 [24:11] S


===2002===
Čia mūsų namai | 2002 m. | https://lnk.lt/archyvai/239428 [02:32]

Edmundas Jakilaitis | 2002 m. | https://lnk.lt/archyvai/240043 [02:09]

Mes Čempionai (Lietuvos anekdotų čempionatas) | 2002-12-28 | https://lnk.lt/archyvai/264627 [1:58:53]


===2003===
NML | Dinamika x Geltona | 2003 m. | https://lnk.lt/archyvai/239434 [1:08:00]

NML | Dinamika x Jungėnai | 2003 m. | https://lnk.lt/archyvai/239433 [1:35:06]

NML | Džordana x Rebelheart | 2003 m. | https://lnk.lt/archyvai/239435 [1:02:33]

ŽAS x Geltona NML | 2003 m. | https://lnk.lt/archyvai/239431 [1:08:26]

Antra pusė | 2003 m. | https://lnk.lt/archyvai/259653 [35:09]

Realybės šou „Baras“ | 2003 m. | https://lnk.lt/archyvai/259670 [40:44]

Mes Čempionai (Lietuvos anekdotų čempionatas) | 2003 m. | https://lnk.lt/archyvai/265439 [45:55]


===2004===
Aklos vestuvės | 2004-02-13 (?) | https://lnk.lt/archyvai/240288 [1:42:04]
Myli nemyli | 2004 m. | https://lnk.lt/archyvai/239441 [50:24]
Vakaras su Marijonu | 2004 m. | https://lnk.lt/archyvai/239438 [50:30]
Myli nemyli | 2004-12 (?) | https://lnk.lt/archyvai/270316 [36:04]


===2005===
Marijonas Mikutavičius | 2005 m. | https://lnk.lt/archyvai/240050 [03:10]
Pakeleiviai | 2005 m. | https://lnk.lt/archyvai/261836 [35:49]
Baras | 2005 m. | https://lnk.lt/archyvai/263452 [25:31]


===2006===
Kelias į žvaigždes | 2006 m. | https://lnk.lt/archyvai/245887 [32:15]
Kelias į žvaigždes | 2006 m. | https://lnk.lt/archyvai/242337 [37:18]
Kelias į žvaigždes - Radži | 2006 m. | https://lnk.lt/archyvai/239445 [35:14]
Kelias į žvaigždes - Radži ir Agnės konfliktas | 2006 m. | https://lnk.lt/archyvai/245884 [34:42]
Kelias į žvaigždes 2 - Merūnas | 2006 m. | https://lnk.lt/archyvai/239444 [36:47]

Tobula pora | 2006 m. | https://lnk.lt/archyvai/246121 [53:05] //Should be "Ideali pora"
Ambrozija. 16 pavasario akimirkų | 2006 m. | https://lnk.lt/archyvai/281158 [1:50:36]

===2007===
Šok su žvaigžde | 2007 m. | https://lnk.lt/archyvai/259970 [1:44:26]
DiArchy. Gyvi be oro | 2007 m. | https://lnk.lt/archyvai/260590 [43:42]
Mis Lietuva 2007 – Jurgita Jurkutė | 2007-05-12, 19:05 val. (?)| https://lnk.lt/archyvai/259866 [1:41:47]
Kelias į žvaigždes 3 - Dūmas prieš Grūdą | 2007-10-20 - Šeštadienis, 19:05-21:30 | https://lnk.lt/archyvai/268868 [1:55:47]
Dviračio šou | 2007 m. | https://lnk.lt/archyvai/243812 [04:58]


===2008===
Kakadu (N-7) | 2008 m. | https://lnk.lt/archyvai/282269 [20:39] - Possibly from 2008-09-23 - Antradienis


===2009===
Lalaila | 2009 m. | https://lnk.lt/archyvai/269093 [09:43] //Likely from 2005, see "© LNK 2005" @09:39 and LNK messed up.
Supertortas | 2009 m. | https://lnk.lt/archyvai/273831 [37:57]


===2010===
2 minutės šlovės | 2010 m. | https://lnk.lt/archyvai/272505 [2:40:37]
Žvaigždžių klubas | 2010 m. | https://lnk.lt/archyvai/275343 [22:00]


===2011===
Pirmas pasimatymas| 2011 m.| https://lnk.lt/archyvai/261157 [44:19]
Lietuvos princesė | 2011 m. | https://lnk.lt/archyvai/261830 [43:24]
Dainuok jei gali | 2011 m. | https://lnk.lt/archyvai/239448 [59:00]
Žvaigždžių duetai | 2011 m. | https://lnk.lt/archyvai/243567 [1:30:00]
Mano laida | 2011 m. | https://lnk.lt/archyvai/262305 [25:27]
Nerealios namų šeimininkės | 2011 m. | https://lnk.lt/archyvai/262417 [31:49]
Dainuok jei gali | 2011 m. | https://lnk.lt/archyvai/265853 [1:00:16]
Kažkas atsitiko – Antano Nedzinsko vestuvės | 2011 m. | https://lnk.lt/archyvai/271287 [05:13]
Būk mano meile | 2011 m. | https://lnk.lt/archyvai/279462 [40:29]

===2012===
Radži ieško žmonos | 2012 m. | https://lnk.lt/archyvai/242333 [1:48:00]
Muzikinė kaukė | 2012 m. | https://lnk.lt/archyvai/264194 [1:28:52]
Mano laida | 2012 m. | https://lnk.lt/archyvai/268601 [25:20]


===2013===
Žvaigždutės | 2013 m. | https://lnk.lt/archyvai/239447 [45:02]
Cukrus | Blondinės prieš brunetes | 2013 m. | https://lnk.lt/archyvai/260652 [25:19]
Juoko kovos | 2013 m. | https://lnk.lt/archyvai/260881 [45:22]
Cukrus | Barakudos ir anfolsai | 2013 m. | https://lnk.lt/archyvai/266854 [25:46]


===2014===
Prajuokink mane | 2014 m. | https://lnk.lt/archyvai/239446 [44:32] BTV
Auksiniai svogūnai | 2014-04-01| https://lnk.lt/archyvai/244100 [2:56:04]
Mano vyras gali | 2014 m. | https://lnk.lt/archyvai/263451 [1:00:03]


===2015===
Su cinkeliu | 2015 m. | https://lnk.lt/archyvai/264212 [39:17]


===2016===
Yra, kaip yra | 2016 m. | https://lnk.lt/archyvai/260800 [48:02]
Moterys prieš vyrus | 2016 m. | https://lnk.lt/archyvai/266974 [1:29:36]
Moterys prieš vyrus (5) | 2016 m. | https://lnk.lt/archyvai/275776 [1:30:25]



===2017===
Kitu kampu | 2017 m. | https://lnk.lt/archyvai/257687 [40:37]
Čia tai geras | 2017 m. | https://lnk.lt/archyvai/264517 [48:41]
Čia tai geras (2) | 2017 m. | https://lnk.lt/archyvai/269963 [40:54]


===2018===
Mes vieno kraujo | 2018 m. | https://lnk.lt/archyvai/277047 [2:07:28]
Pasirinkę Lietuvą | 2018 m. | https://lnk.lt/archyvai/279683 [24:54]
Yra, kaip yra | 2018 m. | https://lnk.lt/archyvai/283003 [1:22:48]

===2019===
Šokio revoliucija | 2019 m. | https://lnk.lt/archyvai/242335 [1:44:22]


===2020===


===2021===


===2022===


===2023===


===2024===

